Input,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 11,Label 12
"[[-2.17731615 -2.07293541 -1.71077302 ... -2.72932238 -2.77491001
  -2.99519162]
 [-2.08924608 -2.03072578 -1.80102486 ... -2.79436104 -2.84815479
  -2.85221158]
 [-1.98316934 -1.91936343 -2.02389197 ... -2.87112041 -2.96902939
  -2.8561305 ]
 ...
 [-2.25819055 -2.42882419 -2.85611817 ... -3.2584231  -2.93030618
  -3.15271084]
 [-2.12221782 -2.16348631 -2.44873593 ... -3.20282854 -3.07978791
  -3.16716207]
 [-1.94095513 -2.10065599 -2.52691141 ... -3.15298779 -3.27048066
  -3.27516321]]","[10.89374278 11.00150609 11.17630475 11.36249051 11.51435969 11.62437935
 11.69964579 11.74504281 11.76808634 11.77784961 11.78419432 11.79967354
 11.82057507 11.80908423]","[-54.95241922 -55.05761871 -55.17500963 -55.28283526 -55.38677725
 -55.50625932 -55.65611249 -55.83654895 -56.03077829 -56.20412426
 -56.3175885  -56.36254758 -56.37525966 -56.39840485]","[12.65486671 13.16534013 13.72759725 14.25385048 14.67781935 14.97710032
 15.15463796 15.22348931 15.20914246 15.14532655 15.05502522 14.94282825
 14.81056862 14.66309431]","[-72.00466246 -71.79415059 -71.57047359 -71.30230776 -70.9153801
 -70.33705874 -69.56573061 -68.68498268 -67.81958092 -67.08578721
 -66.55204327 -66.23101703 -66.12735186 -66.27026844]","[2.16636485 2.36323004 2.56833653 2.75784024 2.91525868 3.03121749
 3.10800932 3.16584444 3.22126246 3.26196254 3.26487372 3.2330316
 3.18952638 3.14106335]","[-73.33312689 -73.00809998 -72.79283866 -72.70096188 -72.69759076
 -72.72594807 -72.75023643 -72.77056587 -72.793724   -72.80772119
 -72.79679303 -72.76781634 -72.74367183 -72.73552641]","[-16.5502006  -16.55620477 -16.54455837 -16.50692848 -16.41819788
 -16.28813081 -16.16982687 -16.10322266 -16.07618431 -16.05847305
 -16.05077906 -16.08092976 -16.16274816 -16.27073412]","[-57.51771886 -57.32548023 -57.12529797 -56.97505064 -56.93101982
 -56.99600943 -57.10970498 -57.20421785 -57.257072   -57.2922899
 -57.35322465 -57.4776322  -57.66971252 -57.88192372]","[-25.05550218 -25.1008567  -25.09482534 -25.03272323 -24.92364637
 -24.79353917 -24.67067702 -24.5717056  -24.50522064 -24.47701643
 -24.48436475 -24.51515122 -24.55947734 -24.61348761]","[-56.86621042 -56.90533954 -56.9385217  -57.00461377 -57.07044166
 -57.07967372 -57.01252967 -56.89666245 -56.76980212 -56.6435306
 -56.52646993 -56.47587597 -56.57440032 -56.830295  ]","[-37.40945501 -37.33902407 -37.24540016 -37.11886954 -36.94318276
 -36.72472649 -36.50212983 -36.32313221 -36.20868467 -36.13837311
 -36.0744845  -36.00282412 -35.9426881  -35.91486873]","[-57.02407281 -56.97999528 -56.86803663 -56.6746356  -56.36706358
 -55.92798973 -55.37875653 -54.76657169 -54.14621304 -53.57703305
 -53.12358812 -52.84689539 -52.7771681  -52.87919255]"
"[[-2.47160386 -2.55848203 -2.61303679 ... -3.11769747 -3.07493688
  -3.1223916 ]
 [-2.19695806 -2.15260885 -2.27873261 ... -3.14301833 -3.16599704
  -3.17216318]
 [-2.1635928  -2.13188731 -2.31749987 ... -3.24698107 -3.2993556
  -3.33184062]
 ...
 [-1.97807277 -2.03332556 -2.54192263 ... -3.63988815 -3.32811674
  -3.46574306]
 [-1.88676502 -2.27933803 -2.60163627 ... -3.56334132 -3.37893098
  -3.38109198]
 [-1.90953719 -2.7964993  -2.98547696 ... -3.52475152 -3.60508484
  -3.46176284]]","[11.80908423 11.72355523 11.5708229  11.40730728 11.28303609 11.20140644
 11.13696079 11.06884079 10.98715908 10.89030756 10.79018894 10.7046144
 10.6379425  10.58351996 10.54225166 10.51846252 10.50045991 10.46639958]","[-56.39840485 -56.43252841 -56.43683592 -56.37371897 -56.24424413
 -56.08027338 -55.91048246 -55.74138809 -55.56612303 -55.38287816
 -55.20474954 -55.05211793 -54.93705059 -54.86121689 -54.82217682
 -54.80861778 -54.79738041 -54.77015033]","[14.66309431 14.49043233 14.27028139 14.00463917 13.74053301 13.54483085
 13.45298038 13.43684194 13.43259715 13.40492859 13.37320497 13.37651873
 13.42557124 13.48911914 13.52004429 13.49416649 13.42826256 13.36477241]","[-66.27026844 -66.65856731 -67.2083795  -67.81174979 -68.42785769
 -69.07425812 -69.74131072 -70.35697979 -70.84547235 -71.19384916
 -71.44603337 -71.64442848 -71.78689318 -71.84080402 -71.80131208
 -71.72674739 -71.6977753  -71.74008231]","[3.14106335 3.07545295 2.9944305  2.92728798 2.90621117 2.93212614
 2.96900493 2.98139564 2.97487751 2.98317002 3.02212829 3.07705107
 3.12407475 3.14550965 3.13685385 3.10771562 3.06800107 3.02042613]","[-72.73552641 -72.73957398 -72.75351408 -72.7769457  -72.80214793
 -72.81448137 -72.80249627 -72.77666663 -72.77098428 -72.80559582
 -72.85872229 -72.89363209 -72.89947585 -72.89352008 -72.90085304
 -72.94521962 -73.04095838 -73.17057663]","[-16.27073412 -16.35754749 -16.39396502 -16.38144034 -16.32969464
 -16.24598237 -16.1477201  -16.05827694 -15.97802708 -15.87603186
 -15.72883332 -15.56294106 -15.43615488 -15.37238071 -15.33798929
 -15.29014447 -15.2279397  -15.18648049]","[-57.88192372 -58.03931104 -58.0856669  -58.00745675 -57.83734261
 -57.64329484 -57.48577298 -57.36623789 -57.23156285 -57.03560543
 -56.77107145 -56.43506475 -56.01484895 -55.54035767 -55.10728895
 -54.80820228 -54.65603946 -54.5926454 ]","[-24.61348761 -24.66660446 -24.6976973  -24.69273421 -24.65704594
 -24.60623353 -24.55056257 -24.48443294 -24.38753139 -24.24554321
 -24.07452816 -23.91375185 -23.78629176 -23.67563791 -23.54870412
 -23.396709   -23.2471129  -23.13252734]","[-56.830295   -57.12944928 -57.3165874  -57.32618144 -57.22035766
 -57.09920272 -57.00121705 -56.89699888 -56.73513321 -56.46294164
 -56.02767537 -55.39554363 -54.58772986 -53.69969336 -52.87033153
 -52.20965906 -51.7452551  -51.43918482]","[-35.91486873 -35.91459059 -35.92168094 -35.92399962 -35.92353247
 -35.92289684 -35.91274813 -35.88368834 -35.84661412 -35.81881168
 -35.7893935  -35.72619748 -35.62307615 -35.51244894 -35.41894851
 -35.32492905 -35.20163085 -35.05938992]","[-52.87919255 -53.05849023 -53.22254578 -53.3345781  -53.41241983
 -53.49147308 -53.58621771 -53.67685208 -53.72548398 -53.68714173
 -53.5014167  -53.11071604 -52.51572693 -51.79404802 -51.04892325
 -50.35510295 -49.7540611  -49.27247504]"
"[[-2.13915684 -2.56577625 -2.12990452 ... -3.58884013 -3.22702158
  -3.4627981 ]
 [-1.91835768 -2.09642916 -2.22119382 ... -3.55158419 -3.35869349
  -3.43184651]
 [-1.79415775 -1.86682426 -2.17836133 ... -3.55620587 -3.34247373
  -3.40019789]
 ...
 [-2.49266917 -2.33114024 -2.40371944 ... -2.84243772 -3.25641205
  -3.19684204]
 [-2.43546079 -2.49278896 -2.47305833 ... -3.06745202 -3.31963114
  -3.3238269 ]
 [-2.17494625 -2.28804151 -2.3137517  ... -3.10013218 -3.45074282
  -3.35115895]]","[10.46639958 10.41622648 10.38459769 10.40265869 10.44993451 10.4707016
 10.44240717 10.40147179 10.3906075  10.40430476 10.40521549 10.37484505
 10.32624261 10.28125158 10.25193835 10.23536977 10.21875671 10.1942585
 10.16839196 10.15133285 10.1399957  10.12064955 10.08854829 10.0590156
 10.05744902 10.09625816 10.15978961 10.21777399]","[-54.77015033 -54.72950075 -54.68916293 -54.65443541 -54.62417924
 -54.60487101 -54.60396694 -54.61188638 -54.61078677 -54.60531441
 -54.62452509 -54.68117257 -54.74528358 -54.77168347 -54.74458462
 -54.6911471  -54.65874952 -54.67574666 -54.72993564 -54.79016986
 -54.84376198 -54.90210773 -54.97640951 -55.05961112 -55.13244147
 -55.18499999 -55.22855506 -55.27834185]","[13.36477241 13.34077289 13.365308   13.4197502  13.47970719 13.53264279
 13.57675266 13.61955556 13.67336624 13.72811528 13.73853808 13.66983369
 13.55013801 13.44605549 13.38100739 13.30393055 13.15495799 12.93711716
 12.69338842 12.43958185 12.16624918 11.88759868 11.63546455 11.41132587
 11.19353179 10.99699381 10.87959358 10.86982704]","[-71.74008231 -71.79891043 -71.78987943 -71.67287446 -71.48244755
 -71.2907631  -71.14852463 -71.06353896 -71.01535974 -70.97335716
 -70.91208897 -70.82883161 -70.7473684  -70.69303107 -70.66075409
 -70.61088412 -70.49886243 -70.31129512 -70.06309741 -69.75027084
 -69.32714052 -68.7572216  -68.0817529  -67.41383287 -66.85330124
 -66.42228554 -66.09164725 -65.83837226]","[3.02042613 2.97401765 2.95166718 2.97211128 3.0275909  3.08965426
 3.13841455 3.17401066 3.19878455 3.20909078 3.21041483 3.21753962
 3.23234936 3.24094703 3.2314444  3.1955669  3.12177705 3.00456245
 2.85322464 2.68443112 2.51013073 2.32936656 2.13364624 1.93049301
 1.75428881 1.64119793 1.59828387 1.60086483]","[-73.17057663 -73.27982091 -73.3186207  -73.28424118 -73.21065737
 -73.12412685 -73.02741705 -72.92684526 -72.84930446 -72.81623971
 -72.82078148 -72.84563536 -72.88348568 -72.92932129 -72.97533999
 -73.02860372 -73.11674304 -73.25778767 -73.43234324 -73.59927882
 -73.73416775 -73.84185257 -73.93539482 -74.01605911 -74.07509547
 -74.10278402 -74.09211208 -74.04573958]","[-15.18648049 -15.1933298  -15.23999108 -15.29156392 -15.31743159
 -15.31151771 -15.28254652 -15.23073903 -15.15316825 -15.07222684
 -15.0261216  -15.02037974 -15.01847181 -14.99123004 -14.95425424
 -14.947718   -14.99074731 -15.07231588 -15.18854474 -15.35963892
 -15.59675281 -15.88436267 -16.20815991 -16.57361185 -16.99459845
 -17.48325136 -18.0405548  -18.64181022]","[-54.5926454  -54.56081302 -54.54528134 -54.54275923 -54.5297549
 -54.48575879 -54.42525144 -54.38262367 -54.37483496 -54.39263524
 -54.42174087 -54.45676929 -54.4888491  -54.49197819 -54.4385773
 -54.3306082  -54.20690132 -54.11190502 -54.05593079 -54.01651552
 -53.97827871 -53.95072305 -53.95145807 -54.00237679 -54.13745734
 -54.38308012 -54.72544648 -55.10376459]","[-23.13252734 -23.05592878 -22.99916027 -22.95329561 -22.92151149
 -22.90497586 -22.90296628 -22.91624876 -22.93887385 -22.95509148
 -22.95127423 -22.92339493 -22.87160867 -22.80160057 -22.73497079
 -22.69966258 -22.70197224 -22.7296489  -22.78988857 -22.91386847
 -23.11391142 -23.36809916 -23.65851727 -23.99914233 -24.41617762
 -24.92021109 -25.50627423 -26.16271309]","[-51.43918482 -51.24653189 -51.13798219 -51.08107297 -51.04382505
 -51.01905292 -51.01546287 -51.03520759 -51.08328687 -51.17419114
 -51.30061829 -51.41211521 -51.44539978 -51.36852493 -51.18842059
 -50.9306514  -50.62737134 -50.31471679 -50.02405514 -49.77613405
 -49.58535464 -49.46105334 -49.40827893 -49.44188466 -49.59629502
 -49.90125934 -50.34100683 -50.84595091]","[-35.05938992 -34.94061025 -34.86584516 -34.81189179 -34.74698436
 -34.67041561 -34.61270172 -34.60253841 -34.63504009 -34.67368123
 -34.68374983 -34.66046714 -34.62532624 -34.60010054 -34.58772741
 -34.58107047 -34.58551505 -34.62185009 -34.70894978 -34.85371135
 -35.05496054 -35.309275   -35.61682501 -35.98893215 -36.44564741
 -36.99518546 -37.61432317 -38.2581124 ]","[-49.27247504 -48.921384   -48.67996917 -48.50318838 -48.36001656
 -48.25852061 -48.22791275 -48.28170145 -48.40387465 -48.56336383
 -48.72817813 -48.8678223  -48.95591397 -48.97321125 -48.90825487
 -48.76403239 -48.56441823 -48.34607922 -48.14112648 -47.96638709
 -47.83299237 -47.76633639 -47.80362982 -47.97778127 -48.32170255
 -48.86522134 -49.59287236 -50.42025417]"
"[[-1.97646764 -1.9370328  -1.88521903 ... -3.32081858 -3.41142169
  -3.58990614]
 [-2.21604125 -2.07327548 -2.08047059 ... -3.11643261 -3.32266115
  -3.46708207]
 [-1.97312157 -1.98632647 -2.24987006 ... -3.11635008 -3.48266422
  -3.46353228]
 ...
 [-2.10916171 -1.92713926 -1.91630536 ... -3.39285993 -3.56087243
  -3.93524411]
 [-2.14144156 -2.05220412 -2.12828064 ... -3.33424234 -3.5713886
  -3.7941137 ]
 [-2.76593345 -2.48918495 -2.46270949 ... -3.3245247  -3.44538431
  -3.82543906]]","[10.21777399 10.25602779 10.28797885 10.33410842 10.39596576 10.45772583
 10.50858193 10.54987376 10.58662993 10.62943357 10.69359413 10.77688488
 10.84953951 10.88612451 10.90210426 10.94055081 11.01759063 11.09611633
 11.12716709 11.10586839 11.06969624 11.05162488 11.05258144]","[-55.27834185 -55.3293085  -55.36359365 -55.37945928 -55.39796452
 -55.44217391 -55.51945892 -55.62108556 -55.72959986 -55.82529414
 -55.89331376 -55.93190434 -55.9531714  -55.97351661 -56.0060474
 -56.05897106 -56.12819323 -56.19048499 -56.21973879 -56.21532084
 -56.20333016 -56.20540996 -56.21419678]","[10.86982704 10.92238332 10.96695135 10.97741325 10.97633508 10.99118744
 11.02832701 11.08177856 11.14501994 11.21315898 11.2846088  11.35510861
 11.40678919 11.4175471  11.38538091 11.32996931 11.26426361 11.17847302
 11.06364107 10.93207071 10.79694396 10.65493904 10.50383902]","[-65.83837226 -65.65830356 -65.55769077 -65.55907749 -65.69398431
 -65.9652551  -66.32157963 -66.68738066 -67.02370561 -67.34862293
 -67.69893292 -68.09318898 -68.53014549 -68.99840814 -69.49018129
 -70.02478794 -70.6511882  -71.40326544 -72.25037377 -73.11504672
 -73.94413255 -74.7378622  -75.50656663]","[ 1.60086483  1.61331219  1.61082265  1.58620665  1.5419042   1.48247109
  1.41686517  1.35780084  1.30924596  1.26145965  1.20369038  1.13192066
  1.04275725  0.93368647  0.81322167  0.69804694  0.59323197  0.48432231
  0.35585851  0.21168796  0.07083665 -0.0524471  -0.1571443 ]","[-74.04573958 -73.9853412  -73.94342455 -73.94228063 -73.98878523
 -74.0796905  -74.19552332 -74.3019044  -74.37557491 -74.42579909
 -74.484769   -74.57859378 -74.70993673 -74.87193046 -75.0717512
 -75.32686092 -75.63761731 -75.97409163 -76.29800859 -76.59521181
 -76.87986679 -77.17060629 -77.46538925]","[-18.64181022 -19.25026585 -19.85672944 -20.47994133 -21.11367971
 -21.70009851 -22.17480897 -22.52213249 -22.77339936 -22.96262443
 -23.09633907 -23.1689062  -23.19552777 -23.20935742 -23.22303505
 -23.20838899 -23.1244033  -22.96137408 -22.74118489 -22.46731504
 -22.09746166 -21.59473082 -21.00418491]","[-55.10376459 -55.43588412 -55.6665091  -55.80656545 -55.91288702
 -56.0137525  -56.07054918 -56.03198007 -55.90548721 -55.75196361
 -55.63197942 -55.579994   -55.61332182 -55.74348664 -55.97878294
 -56.32576337 -56.79254878 -57.38632617 -58.11021697 -58.97167171
 -59.98169117 -61.1209605  -62.31286664]","[-26.16271309 -26.86686314 -27.58353115 -28.27777871 -28.92676058
 -29.51906314 -30.04302088 -30.47807428 -30.80813972 -31.04415229
 -31.21847717 -31.35349219 -31.44645231 -31.48386138 -31.46100747
 -31.38767898 -31.27517021 -31.11383037 -30.87036362 -30.51637245
 -30.04835079 -29.48175241 -28.8671502 ]","[-50.84595091 -51.32495816 -51.70891121 -51.98691713 -52.20583934
 -52.41072534 -52.58646268 -52.67782927 -52.6597764  -52.57061541
 -52.47981948 -52.43725071 -52.45494143 -52.52583607 -52.65129319
 -52.85135537 -53.15675188 -53.60004679 -54.20607018 -54.97491819
 -55.88562056 -56.92590762 -58.08836678]","[-38.2581124  -38.89604539 -39.53161897 -40.17418793 -40.80056021
 -41.36366344 -41.8348237  -42.22066944 -42.53852112 -42.79123305
 -42.97717827 -43.11162351 -43.21728174 -43.30098383 -43.35743735
 -43.38645911 -43.38990068 -43.35728856 -43.26355514 -43.07706729
 -42.77425033 -42.36554635 -41.90741078]","[-50.42025417 -51.24338293 -52.00456818 -52.69462537 -53.30910494
 -53.82627948 -54.22217146 -54.49194276 -54.65556371 -54.75001672
 -54.81641895 -54.88161745 -54.94664477 -55.00568474 -55.07387816
 -55.17612108 -55.31507607 -55.4782067  -55.676606   -55.95112961
 -56.33376935 -56.82364313 -57.40268816]"
"[[-1.89737947 -2.42070356 -3.43827178 ... -3.52609165 -3.84899279
  -3.79158493]
 [-2.04454053 -2.40938343 -2.73456641 ... -3.39256978 -3.69575767
  -3.68968882]
 [-2.54628029 -2.72190946 -2.51896445 ... -3.33609984 -3.56843792
  -3.62078799]
 ...
 [-2.49891234 -2.1522666  -2.13308064 ... -3.74206623 -3.76532404
  -3.9200326 ]
 [-2.11170488 -2.07151921 -2.27114431 ... -3.83604213 -3.83881999
  -3.74991024]
 [-1.93831085 -2.28594053 -2.3533366  ... -4.03115506 -4.06757879
  -3.69751946]]","[11.05258144 11.052711   11.03747605 11.01773062 11.02176474 11.05718683
 11.09435021 11.10061302 11.07236665 11.02605037 10.97892805 10.9421796
 10.91953594 10.91007929 10.90901222 10.90428658 10.88405351 10.85133148
 10.82326938 10.81452311 10.82415887 10.83626444 10.83126859 10.80201127
 10.76576918 10.75386395 10.77415333 10.79325333 10.77760998 10.73503088
 10.69430718 10.67117223 10.66991324 10.68836594 10.7109193  10.71790719
 10.70855802]","[-56.21419678 -56.20449389 -56.16438809 -56.10893757 -56.06288417
 -56.0377982  -56.0302037  -56.03041668 -56.02531498 -56.00560753
 -55.9773501  -55.95505863 -55.94320938 -55.93430965 -55.9216244
 -55.90476509 -55.88371316 -55.85552461 -55.81978794 -55.78191699
 -55.75020476 -55.73109109 -55.72395767 -55.72195946 -55.71890647
 -55.71208277 -55.70285746 -55.69625725 -55.69426724 -55.69198587
 -55.68225094 -55.65998628 -55.62616037 -55.59282026 -55.57814886
 -55.58872345 -55.61006862]","[10.50383902 10.35281175 10.21305562 10.10469599 10.06522232 10.1245384
 10.27640469 10.48936765 10.73875925 11.01594166 11.31428365 11.62672406
 11.95809988 12.3154588  12.67838497 13.00153677 13.25420846 13.44168062
 13.58855241 13.71616897 13.83233206 13.92536838 13.9732589  13.97950192
 13.98382954 14.00651249 14.00796661 13.94328685 13.83762178 13.77463319
 13.8126686  13.92401924 14.02019742 14.03439948 13.97471511 13.90477363
 13.88140713]","[-75.50656663 -76.22336238 -76.82125797 -77.22293114 -77.38251567
 -77.31378398 -77.06920919 -76.68567314 -76.17295596 -75.55864479
 -74.90439461 -74.26172564 -73.63821584 -73.01626926 -72.39200652
 -71.79303367 -71.26664059 -70.86254348 -70.61574418 -70.50789484
 -70.44881581 -70.34786007 -70.21072519 -70.12142432 -70.12240711
 -70.15303225 -70.12114507 -70.00414963 -69.85716898 -69.75084937
 -69.72857893 -69.78256507 -69.83273778 -69.77772662 -69.61221388
 -69.45059826 -69.39162044]","[-0.1571443  -0.24600238 -0.31303192 -0.33871204 -0.29677758 -0.16950705
  0.03906363  0.29976488  0.57217757  0.8346436   1.10114606  1.39863638
  1.73084554  2.07733194  2.42173978  2.75989236  3.08090393  3.36012679
  3.57589665  3.72427503  3.81688883  3.87251513  3.90957009  3.93555304
  3.94259724  3.92385308  3.89298046  3.87227568  3.86420312  3.85570396
  3.84587341  3.84423332  3.84694768  3.83915854  3.81812755  3.79416912
  3.76627007]","[-77.46538925 -77.73119279 -77.9175416  -77.98655019 -77.93031919
 -77.76148089 -77.48989093 -77.11201361 -76.63349822 -76.09927202
 -75.57807489 -75.10647038 -74.6643208  -74.21813127 -73.77413502
 -73.37985568 -73.09205522 -72.94185705 -72.90436165 -72.90887918
 -72.90206249 -72.88792606 -72.89302354 -72.91535891 -72.9264134
 -72.91599314 -72.91484304 -72.95239723 -73.00257156 -73.00888476
 -72.96216559 -72.91393546 -72.90924765 -72.9368592  -72.95173489
 -72.92868196 -72.883833  ]","[-21.00418491 -20.44594813 -20.0117923  -19.68386396 -19.36844093
 -18.99227343 -18.55213171 -18.0882049  -17.63497876 -17.20217184
 -16.78842478 -16.39904932 -16.05299992 -15.78101354 -15.60363468
 -15.49711165 -15.40254731 -15.28747299 -15.17488042 -15.09288488
 -15.02586725 -14.94676676 -14.87117572 -14.83720536 -14.84539261
 -14.85231957 -14.8186387  -14.74922241 -14.68799507 -14.67395515
 -14.70449574 -14.74415058 -14.76064441 -14.74939769 -14.73234318
 -14.73483088 -14.7580282 ]","[-62.31286664 -63.454886   -64.46704755 -65.28769392 -65.846649
 -66.08096638 -65.9717877  -65.5483353  -64.86795054 -64.0077251
 -63.05803442 -62.1000565  -61.20157473 -60.43520896 -59.85738699
 -59.46647286 -59.21611072 -59.05721378 -58.95059982 -58.86453958
 -58.77746904 -58.67842058 -58.56305233 -58.43173725 -58.29141337
 -58.15484186 -58.03169795 -57.91889573 -57.80609724 -57.69120457
 -57.57999582 -57.47349722 -57.37066195 -57.27764428 -57.19591403
 -57.10751755 -56.99437577]","[-28.8671502  -28.30883826 -27.89971046 -27.63010566 -27.40748926
 -27.15491637 -26.85758235 -26.53045983 -26.17702097 -25.79500396
 -25.40798099 -25.06373748 -24.79498013 -24.59532072 -24.43581337
 -24.28803893 -24.12900663 -23.95106404 -23.77920369 -23.65512322
 -23.59437987 -23.57551073 -23.56877312 -23.55744577 -23.53599656
 -23.50699423 -23.47989082 -23.458158   -23.43150776 -23.39616784
 -23.37150071 -23.37576994 -23.39974581 -23.42581072 -23.45679403
 -23.50394805 -23.555759  ]","[-58.08836678 -59.32882298 -60.55833728 -61.67026144 -62.55823438
 -63.13657515 -63.37091061 -63.29176134 -62.9768714  -62.50797671
 -61.93980653 -61.32100358 -60.7299273  -60.25651331 -59.94214588
 -59.75615857 -59.64054199 -59.56463924 -59.52805462 -59.52501187
 -59.52271523 -59.47539033 -59.35357641 -59.16104343 -58.93093722
 -58.70494308 -58.50306679 -58.30836128 -58.09097104 -57.84707213
 -57.60211906 -57.38158272 -57.19367246 -57.0319205  -56.87898353
 -56.71480473 -56.52815813]","[-41.90741078 -41.46772953 -41.07996654 -40.74181875 -40.44047567
 -40.16420634 -39.90134175 -39.63339524 -39.32854286 -38.95800053
 -38.53167371 -38.10629283 -37.74359633 -37.46166588 -37.22935176
 -37.00015746 -36.75055838 -36.49575103 -36.27057737 -36.09495516
 -35.9665588  -35.88001854 -35.83061795 -35.80214581 -35.77301425
 -35.73577457 -35.69922314 -35.67275847 -35.65716721 -35.65085775
 -35.6560915  -35.67321607 -35.69561114 -35.717597   -35.74207391
 -35.7749775  -35.81476869]","[-57.40268816 -58.04702174 -58.71900095 -59.37125544 -59.95974917
 -60.44403575 -60.78490086 -60.95069262 -60.92481215 -60.7164503
 -60.37651783 -59.99258648 -59.64977309 -59.39441595 -59.23206973
 -59.14540412 -59.11164784 -59.11583426 -59.14939329 -59.19156022
 -59.20491209 -59.15996229 -59.0522814  -58.89086975 -58.68708951
 -58.46028016 -58.23614282 -58.02789505 -57.82844509 -57.63053437
 -57.4427686  -57.27319662 -57.1099198  -56.93120642 -56.72575641
 -56.4957778  -56.24683975]"
